iter	Passed	Remaining
0	222	333197
1	527	394818
2	729	364054
3	911	341066
4	1098	328332
5	1277	318028
6	1471	313874
7	1660	309616
8	1842	305174
9	2012	299911
10	2188	296297
11	2367	293574
12	2603	297773
13	2833	300786
14	3109	307812
15	3322	308168
16	3520	307137
17	3711	305583
18	3912	305006
19	4108	303999
20	4334	305301
21	4583	307959
22	4794	307890
23	4991	306951
24	5122	302206
25	5301	300527
26	5422	295843
27	5599	294363
28	5783	293384
29	5951	291643
30	6113	289703
31	6268	287589
32	6447	286599
33	6649	286713
34	6839	286294
35	7025	285685
36	7187	284202
37	7364	283332
38	7553	282958
39	7726	282031
40	7917	281732
41	8109	281524
42	8309	281542
43	8498	281228
44	8695	281152
45	8917	281863
46	9107	281571
47	9352	282899
48	9568	283335
49	9772	283400
50	10004	284248
51	10188	283722
52	10394	283788
53	10598	283816
54	10793	283565
55	10990	283397
56	11209	283767
57	11411	283716
58	11578	282793
59	11778	282695
60	11974	282489
61	12169	282263
62	12356	281848
63	12555	281710
64	12764	281797
65	12964	281690
66	13159	281451
67	13321	280526
68	13539	280805
69	13742	280748
70	13967	281120
71	14144	280524
72	14337	280263
73	14537	280139
74	14864	282423
75	15046	281920
76	15243	281702
77	15427	281250
78	15628	281112
79	15850	281342
80	16061	281375
81	16272	281387
82	16467	281130
83	16655	280756
84	16892	281216
85	17097	281120
86	17266	280438
87	17464	280233
88	17658	279964
89	17865	279893
90	18057	279593
91	18271	279627
92	18460	279293
93	18642	278838
94	18869	279070
95	19051	278623
96	19238	278269
97	19491	278852
98	19716	279024
99	19924	278948
100	20118	278671
101	20323	278557
102	20521	278337
103	20708	277975
104	20901	277693
105	21067	277062
106	21267	276881
107	21463	276646
108	21690	276806
109	21963	277534
110	22211	277950
111	22464	278401
112	22704	278685
113	22951	279042
114	23144	278745
115	23346	278548
116	23583	278772
117	23776	278469
118	23977	278254
119	24174	278007
120	24372	277765
121	24530	277068
122	24736	276924
123	24933	276676
124	25123	276361
125	25299	275887
126	25515	275852
127	25722	275714
128	25915	275422
129	26132	275398
130	26311	274963
131	26511	274752
132	26704	274478
133	26913	274357
134	27081	273827
135	27262	273429
136	27458	273178
137	27655	272945
138	27839	272583
139	28014	272136
140	28179	271605
141	28354	271165
142	28482	270280
143	28647	269760
144	28881	269891
145	29086	269745
146	29260	269316
147	29465	269167
148	29725	269522
149	30081	270732
150	30389	271492
151	30646	271788
152	30980	272753
153	31199	272690
154	31414	272597
155	31630	272508
156	31825	272240
157	32031	272064
158	32247	271974
159	32460	271855
160	32656	271600
161	32839	271232
162	33040	271013
163	33225	270669
164	33445	270603
165	33681	270666
166	33881	270445
167	34066	270097
168	34274	269939
169	34458	269588
170	34605	268953
171	34800	268694
172	34962	268183
173	35171	268034
174	35294	267232
175	35514	267163
176	35725	267034
177	35930	266857
178	36138	266700
179	36351	266575
180	36557	266402
181	36741	266074
182	36922	265719
183	37095	265316
184	37281	264998
185	37475	264749
186	37648	264346
187	37848	264132
188	38053	263959
189	38250	263725
190	38423	263331
191	38630	263170
192	38728	262269
